"Plot","Num.Seedlings","Num.Juveniles","Total.Number"
"PPW1301",0,4,4
"PPW1302",69,192,261
"PPW1303",256,182,438
"PPW1304",21,9,30
"PPW1305",51,148,199
"PPW1306",120,47,167
"PPW1307",25,134,159
"PPW1308",27,17,44
"PPW1309",86,14,100
"PPW1310",7,22,29
"PPW1311",0,2,2
"PPW1312",59,465,524
"PPW1313",1,41,42
"PPW1314",45,15,60
"PPW1315",172,135,307
"PPW1316",13,32,45
"PPW1317",140,26,166
"PPW1318",187,24,211
"PPW1319",39,39,78
"PPW1320",16,105,121
"PPW1321",2,179,181
"PPW1322",2,31,33
"PPW1323",25,1,26
"PPW1324",45,51,96
"PPW1325",112,31,143
"PPW1326",11,175,186
"PPW1327",8,63,71
"PPW1328",136,517,653
"PPW1329",9,17,26
"PPW1330",7,154,161
"PPW1331",1,28,29
"PPW1332",15,52,67
"PPW1333",142,330,472
"PPW1334",8,69,77
"PPW1335",15,295,310
"PPW1336",64,39,103
"PPW1337",6,63,69
"PPW1338",17,42,59
"PPW1339",15,73,88
"PPW1340",96,375,471
"PPW1341",42,132,174
"PPW1342",0,14,14
"PPW1343",15,188,203
"PPW1344",25,24,49
"PPW1345",0,22,22
"PPW1346",0,32,32
"PPW1347",1,28,29
"PPW1348",2,75,77
"PPW1349",13,73,86
"PPW1350",6,57,63
