"","Plot","Basal.Area"
"1","PPW1301",NA
"2","PPW1302",288.763572825156
"3","PPW1303",24.9633308448735
"4","PPW1304",5.144986288784
"5","PPW1305",382.470841416799
"6","PPW1306",19.8100978753738
"7","PPW1307",306.708899841175
"8","PPW1308",NA
"9","PPW1309",NA
"10","PPW1310",173.729916663883
"11","PPW1311",39.6076293801333
"12","PPW1312",484.479532976105
"13","PPW1313",332.203002764872
"14","PPW1314",15.0051889913409
"15","PPW1315",32.4621554293597
"16","PPW1316",20.8491796455487
"17","PPW1317",59.6122703805807
"18","PPW1318",80.1812985012455
"19","PPW1319",44.2783137180416
"20","PPW1320",757.586429033381
"21","PPW1321",261.651785304308
"22","PPW1322",43.7337971713581
"23","PPW1323",NA
"24","PPW1324",20.865437387531
"25","PPW1325",76.9768739945839
"26","PPW1326",787.507664324517
"27","PPW1327",821.329579594167
"28","PPW1328",823.298729869437
"29","PPW1329",NA
"30","PPW1330",2440.2985383605
"31","PPW1331",127.478918378836
"32","PPW1332",18.8965227317099
"33","PPW1333",76.9263728926774
"34","PPW1334",1.16176096329751
"35","PPW1335",13.315326302975
"36","PPW1336",13.7884501566056
"37","PPW1337",259.615954724966
"38","PPW1338",57.2049464699512
"39","PPW1339",92.1437764677684
"40","PPW1340",390.470278790635
"41","PPW1341",51.0021859347035
"42","PPW1342",130.018424800365
"43","PPW1343",2653.43596495248
"44","PPW1344",NA
"45","PPW1345",963.462849604754
"46","PPW1346",473.479560458826
"47","PPW1347",564.313371329863
"48","PPW1348",1715.13153909638
"49","PPW1349",61.6136219805501
"50","PPW1350",718.803781884081
