"","Var1","Var2","Var3","Freq"
"1","SA","1","DN",1
"2","TR1","1","DN",2
"3","TR2","1","DN",0
"4","TR3","1","DN",0
"5","SA","2","DN",390
"6","TR1","2","DN",257
"7","TR2","2","DN",3
"8","TR3","2","DN",1
"9","SA","3","DN",15
"10","TR1","3","DN",6
"11","TR2","3","DN",6
"12","TR3","3","DN",9
"13","SA","4","DN",99
"14","TR1","4","DN",110
"15","TR2","4","DN",49
"16","TR3","4","DN",163
"17","SA","1","GC",18
"18","TR1","1","GC",26
"19","TR2","1","GC",3
"20","TR3","1","GC",11
"21","SA","2","GC",18
"22","TR1","2","GC",89
"23","TR2","2","GC",48
"24","TR3","2","GC",29
"25","SA","3","GC",1
"26","TR1","3","GC",2
"27","TR2","3","GC",4
"28","TR3","3","GC",53
"29","SA","4","GC",0
"30","TR1","4","GC",0
"31","TR2","4","GC",2
"32","TR3","4","GC",71
