"","SpCode","Type","N17","N18.DN","N18.DR","N18.LN","N18.LR"
"1","AMOCAL","SA","373","63","257","53","0"
"2","AMOCAL","TR","53","16","32","3","2"
"3","ARCMAN","SA","9","8","0","1","0"
"4","ARCMAN","TR","52","33","0","19","0"
"5","FRACAL","SA","116","71","41","4","0"
"6","FRACAL","TR","32","17","14","1","0"
"7","HETARB","SA","164","72","44","47","1"
"8","HETARB","TR","544","267","229","41","7"
"9","ARBMEN","SA","151","83","37","31","0"
"10","ARBMEN","TR","132","30","41","29","32"
"11","PSEMEN","SA","543","506","0","37","0"
"12","PSEMEN","TR","660","441","0","219","0"
"13","QUEAGR","SA","411","116","120","175","0"
"14","QUEAGR","TR","369","65","61","190","53"
"15","QUEDOU","SA","3","0","2","1","0"
"16","QUEDOU","TR","81","9","0","71","1"
"17","QUEGAR","SA","17","2","11","4","0"
"18","QUEGAR","TR","359","36","11","228","84"
"19","QUEKEL","SA","3","3","0","0","0"
"20","QUEKEL","TR","72","20","14","26","12"
"21","UMBCAL","SA","1186","472","504","205","5"
"22","UMBCAL","TR","399","74","191","69","65"
"23","OTHSHR","SA","149","24","30","88","7"
"24","OTHSHR","TR","31","12","5","6","8"
"25","OTHTRS","SA","19","10","4","5","0"
"26","OTHTRS","TR","36","6","10","9","11"
